CSE,platform,username,display_name,url,bio_description,found_at,false_positive
Bank of Baroda,instagram,icicibank,icicibankVerifiedICICI Bank • 533K followers,https://www.instagram.com/icicibank/,,2026-02-23T15:43:52.859912,FALSE
Bank of Baroda,instagram,icicibankcc,icicibankccVerifiedICICI Bank Credit Cards • 18K followers,https://www.instagram.com/icicibankcc/,,2026-02-23T15:43:52.924913,FALSE
Bank of Baroda,instagram,icicibank.nriservices,icicibank.nriservicesICICI Bank- NRI Services,https://www.instagram.com/icicibank.nriservices/,,2026-02-23T15:43:52.946757,FALSE
Bank of Baroda,instagram,icici3in1,icici3in1VerifiedICICI Bank 3 in 1 Account • 280 followers,https://www.instagram.com/icici3in1/,,2026-02-23T15:43:52.995021,FALSE
Bank of Baroda,instagram,bank_bank_sharma,bank_bank_sharmaicici Bank,https://www.instagram.com/bank_bank_sharma/,,2026-02-23T15:43:53.303007,FALSE
ICICI Bank,instagram,jablackx,jablackx,https://www.instagram.com/jablackx/,,2026-02-23T15:44:11.301700,TRUE
ICICI Bank,instagram,amybrenneman,amybrenneman,https://www.instagram.com/amybrenneman/,,2026-02-23T15:44:11.323476,TRUE
ICICI Bank,instagram,sakinovicr,sakinovicr,https://www.instagram.com/sakinovicr/,,2026-02-23T15:44:30.838257,TRUE
Civil Registration System,facebook,61551829499680,Profile photo of CRS.India,https://www.facebook.com/profile.php?id=61551829499680&__tn__=%3C,,2026-02-23T15:44:40.741213,TRUE
Civil Registration System,facebook,61576645190738,Profile photo of crs india,https://www.facebook.com/profile.php?id=61576645190738&__tn__=%3C,,2026-02-23T15:44:40.768930,TRUE
Civil Registration System,facebook,61551697959000,Profile photo of crs.india,https://www.facebook.com/profile.php?id=61551697959000&__tn__=%3C,,2026-02-23T15:44:40.790942,TRUE
Civil Registration System,facebook,100067156758306,Profile photo of CRS Technologies India Pvt Ltd,https://www.facebook.com/profile.php?id=100067156758306&__tn__=%3C,,2026-02-23T15:44:40.815728,TRUE
Civil Registration System,facebook,crsorgi.gov.in,Profile photo of Civil Registration System - CRS INDIA,https://www.facebook.com/crsorgi.gov.in?__tn__=%3C,,2026-02-23T15:44:40.837883,FALSE
Civil Registration System,facebook,crseducationgroup,Profile photo of CRS Educational,https://www.facebook.com/crseducationgroup?__tn__=%3C,,2026-02-23T15:44:40.860960,FALSE
Civil Registration System,facebook,chiragestate,Profile photo of CRS Realty,https://www.facebook.com/chiragestate?__tn__=%3C,,2026-02-23T15:44:40.883692,FALSE
Civil Registration System,facebook,61572595812690,Profile photo of CRS Designs,https://www.facebook.com/profile.php?id=61572595812690&__tn__=%3C,,2026-02-23T15:44:40.908807,TRUE
Civil Registration System,facebook,crssevasansthan,Profile photo of CRS Seva Sansthan,https://www.facebook.com/crssevasansthan?__tn__=%3C,,2026-02-23T15:44:40.935165,FALSE
Civil Registration System,facebook,61552643590896,Profile photo of CRS कृषि फार्म,https://www.facebook.com/profile.php?id=61552643590896&__tn__=%3C,,2026-02-23T15:44:40.958117,TRUE
Civil Registration System,facebook,CRSConsultant,Profile photo of CRS Consultant,https://www.facebook.com/CRSConsultant?__tn__=%3C,,2026-02-23T15:44:40.985442,FALSE
Civil Registration System,facebook,CrsInfocom,Profile photo of CRS Infocom,https://www.facebook.com/CrsInfocom?__tn__=%3C,,2026-02-23T15:44:41.011657,TRUE
Civil Registration System,facebook,crspublicschool,"Profile photo of CRS Public School, Karhal",https://www.facebook.com/crspublicschool?__tn__=%3C,,2026-02-23T15:44:41.030966,TRUE
Civil Registration System,facebook,crscollege,"Profile photo of CRS College, Nahal Aligarh",https://www.facebook.com/crscollege?__tn__=%3C,,2026-02-23T15:44:41.054532,TRUE
Civil Registration System,facebook,100090826640817,Profile photo of CRS School Jamal,https://www.facebook.com/profile.php?id=100090826640817&__tn__=%3C,,2026-02-23T15:44:41.074375,TRUE
Civil Registration System,facebook,100076001269581,Profile photo of CRS Pathology lab and dental clinic,https://www.facebook.com/profile.php?id=100076001269581&__tn__=%3C,,2026-02-23T15:44:41.096303,TRUE
Civil Registration System,facebook,100082811662867,Profile photo of CRS Express,https://www.facebook.com/profile.php?id=100082811662867&__tn__=%3C,,2026-02-23T15:44:41.120473,TRUE
Civil Registration System,facebook,100093985504658,Profile photo of CRS Videos,https://www.facebook.com/profile.php?id=100093985504658&__tn__=%3C,,2026-02-23T15:44:41.140399,TRUE
Civil Registration System,facebook,CrsGirlsInterCollege,Profile photo of Crs girls inter college,https://www.facebook.com/CrsGirlsInterCollege?__tn__=%3C,,2026-02-23T15:44:41.158965,FALSE
Civil Registration System,facebook,crssecuresolutionsindia,Profile photo of CRS Secure Solutions India private Limited,https://www.facebook.com/crssecuresolutionsindia?__tn__=%3C,,2026-02-23T15:44:41.180844,FALSE
Civil Registration System,facebook,61581130930915,Profile photo of Crs Public School Kishani Road Karhal,https://www.facebook.com/profile.php?id=61581130930915&__tn__=%3C,,2026-02-23T15:44:41.201775,TRUE
Civil Registration System,facebook,100064807447622,Profile photo of CRS 90.4 Radio 7,https://www.facebook.com/profile.php?id=100064807447622&__tn__=%3C,,2026-02-23T15:44:41.223864,TRUE
Civil Registration System,facebook,CRSepay,Profile photo of CRS epay,https://www.facebook.com/CRSepay?__tn__=%3C,,2026-02-23T15:44:41.248164,FALSE
Civil Registration System,facebook,CRSAssiociatesAdvocates,"Profile photo of CRS Associates, Advocates",https://www.facebook.com/CRSAssiociatesAdvocates?__tn__=%3C,,2026-02-23T15:44:41.272543,TRUE
Civil Registration System,facebook,100093799957357,Profile photo of CRS  Indian boy,https://www.facebook.com/profile.php?id=100093799957357&__tn__=%3C,,2026-02-23T15:44:41.294507,FALSE
Civil Registration System,facebook,61575911013832,Profile photo of Civil Registration and Management System,https://www.facebook.com/profile.php?id=61575911013832&__tn__=%3C,,2026-02-23T15:45:05.140910,FALSE
Civil Registration System,facebook,100067734660724,Profile photo of Civil registration management system,https://www.facebook.com/profile.php?id=100067734660724&__tn__=%3C,,2026-02-23T15:45:05.163829,FALSE
Civil Registration System,facebook,FiraTech,Profile photo of Ocrs-Oromia Civil Registration System,https://www.facebook.com/FiraTech?__tn__=%3C,,2026-02-23T15:45:05.188697,FALSE
Civil Registration System,facebook,nfssindia,Profile photo of National Fire & Security Systems,https://www.facebook.com/nfssindia?__tn__=%3C,,2026-02-23T15:45:05.215523,FALSE
Civil Registration System,facebook,psomasbate,Profile photo of PSA_Civil Registration and Vital Statistics,https://www.facebook.com/psomasbate?__tn__=%3C,,2026-02-23T15:45:05.240938,FALSE
Civil Registration System,facebook,100069345243868,"Profile photo of Municipal Civil Registry Office of Sampaloc, Quezon",https://www.facebook.com/profile.php?id=100069345243868&__tn__=%3C,,2026-02-23T15:45:05.264949,FALSE
Civil Registration System,facebook,MCROTUBA,Profile photo of TUBA - Municipal Civil Registry Office,https://www.facebook.com/MCROTUBA?__tn__=%3C,,2026-02-23T15:45:05.287082,FALSE
Civil Registration System,facebook,uasaiindia,Profile photo of Unmanned Aircraft Systems Association Of India UASAI,https://www.facebook.com/uasaiindia?__tn__=%3C,,2026-02-23T15:45:05.308260,FALSE
Civil Registration System,facebook,isabelacity.civilregistrar,Profile photo of Isabela City Civil Registry Office,https://www.facebook.com/isabelacity.civilregistrar?__tn__=%3C,,2026-02-23T15:45:05.328799,FALSE
Civil Registration System,facebook,100069130702252,Profile photo of Gallup New Mexico Corrupt Court System,https://www.facebook.com/profile.php?id=100069130702252&__tn__=%3C,,2026-02-23T15:45:05.355110,FALSE
Civil Registration System,facebook,unmannedsystemsassociationindia,Profile photo of Unmanned Systems Associations of India - USAI,https://www.facebook.com/unmannedsystemsassociationindia?__tn__=%3C,,2026-02-23T15:45:05.377231,FALSE
Civil Registration System,facebook,smeconsultph,Profile photo of Late Registration Of Birth,https://www.facebook.com/smeconsultph?__tn__=%3C,,2026-02-23T15:45:05.398912,FALSE
Civil Registration System,facebook,URSBHQ,Profile photo of Uganda Registration Services Bureau,https://www.facebook.com/URSBHQ?__tn__=%3C,,2026-02-23T15:45:05.423971,FALSE
Civil Registration System,facebook,100063660381764,Profile photo of Mohd Danish,https://www.facebook.com/profile.php?id=100063660381764&__tn__=%3C,,2026-02-23T15:45:05.444158,TRUE
Civil Registration System,facebook,genpower.systems,Profile photo of Genpower Systems,https://www.facebook.com/genpower.systems?__tn__=%3C,,2026-02-23T15:45:05.464928,FALSE
Civil Registration System,facebook,InterAirSys,Profile photo of International Air System,https://www.facebook.com/InterAirSys?__tn__=%3C,,2026-02-23T15:45:05.486103,FALSE
Civil Registration System,facebook,omcrsj,"Profile photo of The Municipal Civil Registrar, San Joaquin, Iloilo",https://www.facebook.com/omcrsj?__tn__=%3C,,2026-02-23T15:45:05.506813,FALSE
Civil Registration System,facebook,NottinghamshireRegistrationService,Profile photo of Nottinghamshire Weddings,https://www.facebook.com/NottinghamshireRegistrationService?__tn__=%3C,,2026-02-23T15:45:05.529788,FALSE
Civil Registration System,facebook,ccrozc,Profile photo of Office of the City Civil Registrar 𝓒𝓲𝓾𝓭𝓪𝓭 𝓭𝓮 𝓩𝓪𝓶𝓫𝓸𝓪𝓷𝓰𝓪,https://www.facebook.com/ccrozc?__tn__=%3C,,2026-02-23T15:45:05.550177,FALSE
IRCTC,instagram,nwic_mojs,nwic_mojsNational Water Informatics Centre,https://www.instagram.com/nwic_mojs/,,2026-02-23T15:45:36.760100,FALSE
IRCTC,instagram,nitcotek_egy,nitcotek_egyNational Informatics Company,https://www.instagram.com/nitcotek_egy/,,2026-02-23T15:45:36.779502,FALSE
IRCTC,instagram,nationalinformaticscenter123,nationalinformaticscenter123s k m �,https://www.instagram.com/nationalinformaticscenter123/,,2026-02-23T15:45:36.811216,TRUE
IRCTC,instagram,ellacrosling,ellacrosling,https://www.instagram.com/ellacrosling/,,2026-02-23T15:45:36.828639,TRUE
Indian Oil Corporation Limited,instagram,iconicfashionindia,iconicfashionindiaIconic India,https://www.instagram.com/iconicfashionindia/,,2026-02-23T15:45:54.490700,FALSE
Indian Oil Corporation Limited,instagram,iconic.india.co,iconic.india.coICONIC,https://www.instagram.com/iconic.india.co/,,2026-02-23T15:45:54.508447,FALSE
Indian Oil Corporation Limited,instagram,_iconic._india,_iconic._indiaKhushii,https://www.instagram.com/_iconic._india/,,2026-02-23T15:45:54.522907,TRUE
Indian Oil Corporation Limited,instagram,iconic__india,iconic__indiaICONIC INDIA,https://www.instagram.com/iconic__india/,,2026-02-23T15:45:54.542311,FALSE
Indian Oil Corporation Limited,instagram,its.iconic.india,its.iconic.indiaIndian Numismatic,https://www.instagram.com/its.iconic.india/,,2026-02-23T15:45:54.561981,FALSE
NIC,instagram,nycgov,nycgovVerifiedCity of New York • 308K followers,https://www.instagram.com/nycgov/,,2026-02-23T15:46:13.414434,FALSE
NIC,instagram,nicgov,nicgovNicoletta Governatori,https://www.instagram.com/nicgov/,,2026-02-23T15:46:13.427172,FALSE
NIC,instagram,_nicgov_,_nicgov_Nicole Nathaniel-Govender,https://www.instagram.com/_nicgov_/,,2026-02-23T15:46:13.441208,FALSE
NIC,instagram,nicgovea,nicgoveaNicole Govea Franco,https://www.instagram.com/nicgovea/,,2026-02-23T15:46:13.454419,FALSE
NIC,instagram,nic_gov,nic_govNicola Ruddy,https://www.instagram.com/nic_gov/,,2026-02-23T15:46:13.490774,FALSE
NIC,instagram,chelseafc,chelseafc,https://www.instagram.com/chelseafc/,,2026-02-23T15:46:30.913458,TRUE
NIC,facebook,MdonerIndia,"Profile photo of Ministry of Development of North Eastern Region, Government of India",https://www.facebook.com/MdonerIndia?__tn__=%3C,,2026-02-23T15:46:36.442061,TRUE
NIC,facebook,indiaculture.goi,"Profile photo of Ministry of Culture, Government of India",https://www.facebook.com/indiaculture.goi?__tn__=%3C,,2026-02-23T15:46:36.465558,FALSE
NIC,facebook,MoHFWIndia,"Profile photo of Ministry of Health and Family Welfare, Government of India",https://www.facebook.com/MoHFWIndia?__tn__=%3C,,2026-02-23T15:46:36.491347,FALSE
NIC,facebook,meityindia,"Profile photo of Ministry of Electronics & Information Technology, Government of India",https://www.facebook.com/meityindia?__tn__=%3C,,2026-02-23T15:46:36.515657,FALSE
